iter	Passed	Remaining
0	1	1321
1	2	1114
2	3	1091
3	4	1055
4	5	1025
5	6	1004
6	7	1007
7	7	966
8	8	957
9	9	950
10	10	940
11	11	986
12	13	1035
13	14	1048
14	15	1046
15	17	1045
16	17	1039
17	19	1073
18	20	1071
19	21	1068
20	22	1065
21	23	1053
22	24	1042
23	26	1060
24	27	1065
25	28	1059
26	29	1050
27	29	1041
28	30	1035
29	31	1027
30	32	1018
31	33	1009
32	34	1004
33	35	998
34	35	992
35	37	990
36	37	986
37	38	982
38	39	978
39	41	984
40	41	980
41	42	975
42	43	971
43	44	967
44	45	965
45	46	966
46	47	963
47	48	961
48	49	960
49	50	962
50	51	959
51	52	957
52	53	956
53	55	970
54	56	972
55	58	989
56	59	986
57	60	982
58	61	979
59	62	975
60	63	972
61	64	969
62	65	967
63	65	964
64	66	961
65	67	961
66	69	964
67	70	964
68	72	980
69	73	976
70	74	974
71	75	972
72	76	968
73	77	966
74	78	964
75	79	962
76	80	960
77	81	957
78	81	955
79	82	953
80	85	967
81	86	968
82	87	965
83	88	966
84	89	963
85	90	961
86	91	960
87	92	960
88	93	957
89	94	954
90	95	952
91	96	949
92	97	946
93	98	947
94	99	948
95	100	946
96	101	943
97	102	942
98	103	939
99	104	936
100	104	934
101	105	932
102	107	931
103	107	929
104	108	927
105	109	924
106	110	922
107	111	922
108	112	923
109	113	921
110	114	919
111	115	918
112	116	916
113	117	914
114	118	912
115	119	910
116	120	907
117	121	905
118	122	904
119	123	903
120	124	902
121	125	902
122	126	903
123	127	902
124	128	901
125	129	900
126	130	898
127	131	896
128	132	894
129	133	892
130	134	890
131	135	889
132	136	887
133	136	884
134	137	882
135	138	880
136	139	879
137	140	879
138	142	879
139	142	877
140	143	875
141	144	873
142	145	871
143	146	870
144	147	868
145	148	866
146	149	865
147	149	863
148	150	860
149	151	857
150	152	856
151	153	854
152	154	854
153	155	855
154	156	854
155	157	853
156	158	853
157	160	852
158	162	857
159	163	855
160	163	854
161	164	852
162	165	850
163	166	849
164	167	849
165	168	848
166	170	849
167	171	848
168	172	848
169	173	847
170	174	845
171	175	844
172	176	842
173	177	841
174	178	839
175	179	838
176	180	837
177	181	836
178	182	835
179	183	834
180	184	834
181	185	833
182	186	831
183	187	830
184	188	828
185	189	827
186	190	826
187	191	826
188	192	828
189	194	828
190	195	827
191	196	827
192	198	830
193	199	830
194	202	833
195	203	833
196	204	832
197	205	831
198	206	830
199	207	829
200	208	828
201	209	828
202	210	827
203	212	829
204	214	832
205	215	832
206	216	830
207	217	829
208	218	828
209	219	827
210	254	951
211	257	957
212	259	958
213	261	960
214	288	1052
215	289	1052
216	296	1070
217	298	1069
218	299	1066
219	300	1064
220	301	1061
221	303	1062
222	304	1062
223	306	1061
224	308	1063
225	310	1063
226	312	1062
227	316	1070
228	318	1071
229	319	1069
230	320	1067
231	322	1066
232	324	1067
233	325	1065
234	326	1063
235	327	1060
236	328	1058
237	329	1056
238	330	1053
239	332	1052
240	333	1050
241	334	1048
242	336	1047
243	337	1045
244	338	1043
245	339	1041
246	340	1039
247	342	1037
248	343	1035
249	344	1033
250	345	1031
251	347	1030
252	348	1028
253	354	1040
254	356	1041
255	357	1039
256	359	1037
257	360	1036
258	361	1034
259	362	1032
260	363	1029
261	364	1027
262	365	1025
263	367	1023
264	368	1021
265	369	1018
266	370	1016
267	371	1014
268	372	1011
269	373	1009
270	374	1006
271	375	1004
272	376	1001
